127.0.0.1 - - [18/Oct/2021:19:06:17 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:06:18 -0300] "GET /ProjetoIndividual/index.html HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:06:18 -0300] "GET /ProjetoIndividual/css/index.css HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:09:27 -0300] "GET /ProjetoIndividual/index.html HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:09:27 -0300] "GET /ProjetoIndividual/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:09:28 -0300] "GET /ProjetoIndividual/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:09:28 -0300] "GET /ProjetoIndividual/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:09:28 -0300] "GET /ProjetoIndividual/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:09:28 -0300] "GET /ProjetoIndividual/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:09:39 -0300] "GET /ProjetoIndividual/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:09:39 -0300] "GET /ProjetoIndividual/css/index.css HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:42 -0300] "GET /ProjetoIndividual/index.html HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:18:42 -0300] "GET /ProjetoIndividual/css/index.css HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:20:07 -0300] "GET /ProjetoIndividual/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:20:07 -0300] "GET /ProjetoIndividual/css/index.css HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [18/Oct/2021:19:20:07 -0300] "GET /ProjetoIndividual/index.html HTTP/1.1" 304 -
