127.0.0.1 - - [20/Oct/2021:18:33:26 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:33:27 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 3958
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:33:27 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:33:27 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:57:41 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 3976
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:57:41 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:57:41 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:57:41 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:57:41 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:57:41 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:57:42 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:57:42 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:57:42 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:57:42 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:57:42 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:57:42 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:58:04 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:58:04 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:58:04 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:58:04 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:58:04 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:58:04 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:58:04 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2021:18:58:05 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 304 -
