0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:40 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:40 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:41 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:41 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:41 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:41 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:41 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:41 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:42 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:42 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:42 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:42 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:42 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:42 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:42 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:42 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:42 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:42 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:42 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:42 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:43 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:43 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:43 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:43 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:43 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:43 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:45 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5836
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:45 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Nov/2021:19:13:45 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1896
