127.0.0.1 - - [09/Nov/2021:18:40:10 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Nov/2021:18:40:11 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5788
0:0:0:0:0:0:0:1 - - [09/Nov/2021:18:40:11 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [09/Nov/2021:18:40:11 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [09/Nov/2021:18:40:11 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [09/Nov/2021:18:40:11 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [09/Nov/2021:18:40:11 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Nov/2021:18:40:23 -0300] "GET /ProjetoIndividual/pages/exemplo/index.html HTTP/1.1" 200 5788
0:0:0:0:0:0:0:1 - - [09/Nov/2021:18:40:23 -0300] "GET /ProjetoIndividual/pages/exemplo/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [09/Nov/2021:18:40:23 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [09/Nov/2021:18:40:23 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [09/Nov/2021:18:40:23 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [09/Nov/2021:18:40:23 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [09/Nov/2021:18:40:23 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:03:45 -0300] "GET /ProjetoIndividual/index.html HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [09/Nov/2021:19:03:45 -0300] "GET /ProjetoIndividual/js/index.js HTTP/1.1" 200 397
