127.0.0.1 - - [20/Nov/2021:20:48:19 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:20 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 200 2225
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:20 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:20 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:20 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:20 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:20 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:21 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/menu.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:21 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:21 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:21 -0300] "GET /ProjetoIndividual/rest/categoria/buscarPorNome?valorBusca= HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:30 -0300] "GET /ProjetoIndividual/pages/gerente/categoria/index.html HTTP/1.1" 200 2225
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:30 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:30 -0300] "GET /ProjetoIndividual/js/gerente/categoria.js HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:30 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:30 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:30 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:33 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:33 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/menu.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [20/Nov/2021:20:48:33 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
