127.0.0.1 - - [13/Dec/2021:18:29:21 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:36 -0300] "GET /ProjetoIndividual/pages/gerente/livro/index.html HTTP/1.1" 200 4199
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:37 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:37 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 3129
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:37 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:37 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:37 -0300] "GET /ProjetoIndividual/js/gerente/livro.js HTTP/1.1" 200 10231
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:37 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/footer.html HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:37 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/menu.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:37 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:37 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:38 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:38 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:38 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:38 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:44 -0300] "GET /ProjetoIndividual/pages/gerente/leitor/index.html HTTP/1.1" 200 7228
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:44 -0300] "GET /ProjetoIndividual/js/gerente/leitor.js HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:44 -0300] "GET /ProjetoIndividual/rest/leitor/buscar?valorBusca= HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:49 -0300] "GET /ProjetoIndividual/pages/gerente/funcionario/index.html HTTP/1.1" 200 7822
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:49 -0300] "GET /ProjetoIndividual/js/gerente/funcionario.js HTTP/1.1" 200 9638
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:29:49 -0300] "GET /ProjetoIndividual/rest/funcionario/buscar?valorBusca= HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:32:43 -0300] "GET /ProjetoIndividual/rest/leitor/buscar?valorBusca=e HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:32:43 -0300] "GET /ProjetoIndividual/rest/leitor/buscar?valorBusca=edi HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:32:43 -0300] "GET /ProjetoIndividual/rest/leitor/buscar?valorBusca=edi HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:32:43 -0300] "GET /ProjetoIndividual/rest/leitor/buscar?valorBusca=edit HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:32:44 -0300] "GET /ProjetoIndividual/rest/leitor/buscar?valorBusca=edi HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:32:44 -0300] "GET /ProjetoIndividual/rest/leitor/buscar?valorBusca=ed HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:32:44 -0300] "GET /ProjetoIndividual/rest/leitor/buscar?valorBusca=e HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:32:44 -0300] "GET /ProjetoIndividual/rest/leitor/buscar?valorBusca= HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:36:11 -0300] "GET /ProjetoIndividual/pages/gerente/funcionario/index.html HTTP/1.1" 200 7822
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:36:11 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 3129
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:36:11 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:36:11 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:36:11 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:36:11 -0300] "GET /ProjetoIndividual/js/gerente/funcionario.js HTTP/1.1" 200 9638
0:0:0:0:0:0:0:1 - - [13/Dec/2021:18:36:11 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/footer.html HTTP/1.1" 200 45
