127.0.0.1 - - [04/Dec/2021:12:23:56 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Dec/2021:12:23:57 -0300] "GET /ProjetoIndividual/pages/gerente/funcionario/index.html HTTP/1.1" 200 5025
0:0:0:0:0:0:0:1 - - [04/Dec/2021:12:23:57 -0300] "GET /ProjetoIndividual/js/jquery-ui.js HTTP/1.1" 200 528735
0:0:0:0:0:0:0:1 - - [04/Dec/2021:12:23:57 -0300] "GET /ProjetoIndividual/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2021:12:23:57 -0300] "GET /ProjetoIndividual/js/gerente/gerente.js HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [04/Dec/2021:12:23:57 -0300] "GET /ProjetoIndividual/js/gerente/funcionario.js HTTP/1.1" 200 4258
0:0:0:0:0:0:0:1 - - [04/Dec/2021:12:23:57 -0300] "GET /ProjetoIndividual/css/gerente/gerente.css HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [04/Dec/2021:12:23:58 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2021:12:23:58 -0300] "GET /ProjetoIndividual/pages/gerente/geralCadastro/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2021:12:23:58 -0300] "GET /ProjetoIndividual/imgs/fotoPerfil.jpg HTTP/1.1" 200 12766
0:0:0:0:0:0:0:1 - - [04/Dec/2021:12:23:59 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Dec/2021:12:23:59 -0300] "GET /ProjetoIndividual/rest/funcionario/buscar?valorBusca= HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [04/Dec/2021:12:23:59 -0300] "GET /ProjetoIndividual/imgs/delete.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Dec/2021:12:23:59 -0300] "GET /ProjetoIndividual/imgs/edit.png HTTP/1.1" 200 1257
