0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:36:36 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:36:38 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:36:40 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:38:48 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorId/?id=1 HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:38:48 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:38:52 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorId/?id=8 HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:38:52 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:51:02 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorNome?valorBusca= HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:51:20 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorId/?id=7 HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:51:20 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:51:23 -0300] "GET /ProjetoIndividual/rest/livro/buscarPorId/?id=8 HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:51:23 -0300] "GET /ProjetoIndividual/rest/livro/buscar HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:53:25 -0300] "GET /ProjetoIndividual/pages/gerente/funcionario/index.html HTTP/1.1" 200 5569
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:53:26 -0300] "GET /ProjetoIndividual/pages/gerente/funcionario/js/index.js HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:53:26 -0300] "GET /ProjetoIndividual/pages/css/telaExemplo.css HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:53:26 -0300] "GET /ProjetoIndividual/pages/imgs/edit.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:53:26 -0300] "GET /ProjetoIndividual/pages/imgs/fotoPerfil.jpg HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:53:26 -0300] "GET /ProjetoIndividual/pages/imgs/delete.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:53:53 -0300] "GET /ProjetoIndividual/pages/gerente/funcionario/index.html HTTP/1.1" 200 5575
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:53:53 -0300] "GET /ProjetoIndividual/pages/gerente/js/index.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:53:53 -0300] "GET /ProjetoIndividual/pages/imgs/fotoPerfil.jpg HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:53:53 -0300] "GET /ProjetoIndividual/pages/imgs/edit.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:53:53 -0300] "GET /ProjetoIndividual/pages/imgs/delete.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:53:53 -0300] "GET /ProjetoIndividual/css/telaExemplo.css HTTP/1.1" 200 2374
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:53:53 -0300] "GET /ProjetoIndividual/pages/imgs/delete.png HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:53:53 -0300] "GET /ProjetoIndividual/pages/imgs/edit.png HTTP/1.1" 404 812
